1;sunsilk;Laco DNA Toner;758;100000; óng mượt rạng ngời mềm mượt diệu kỳ dưỡng ngăn gãy rụng;INSTOCK
2;clearMen;Laco Body Wash;488;200000;tăng cường sức khỏe da đầu, giúp giảm sự mất nước của các biểu bì da;INSTOCK
3;Romano;Laco Shampoo;1500;150000;giúp cho tóc chắc khỏe đi kèm với hương thơm độc đáo riêng biệt;INSTOCK
4;dove;Laco Lipstick;2000;50000; Dove phục hồi hư tổn,dưỡng tóc bồng bềnh;INSTOCK
5;lifebuoy;Collagen;-600;800000;mang đến cảm giác sạch sẽ, thơm tho vì khả năng diệt vi khuẩn.;INSTOCK
6;sunsilk;Laco Face Wash;0;300000;khả năng dưỡng tóc chắc khỏe ,ngăn rụng tóc ,mùi hương lưu lại lâu;OUTOFSTOCK
7;;clearMen;Laco Skin Exfoliating Scrub;1000;300000;công thức giữ ẩm đặc biệt, giúp gàu không xuất hiện trở lại;INSTOCK
8;Romano; Laco Black Hair;1000;300000;Tóc đen ngay sau khi gội, thao tác cực đơn giản dễ dàng;INSTOCK
9;dove;Collagen 82x;1000;2300000;Công thức thông minh kết hợp hài hòa các thành phần, bổ trợ tác dụng cho nhau 1 cách hoàn hảo;INSTOCK
10;lifebuoy;Vaseline Lipstick;1000;50000;giảm xơ rối giá thành hợp lý, phụ nữ á đông rất ưa chuộng;INSTOCK
11;sunsilk;Weight;0;2000000;siêu mềm mượt óng ả ,nuôi dưỡng phục hồi tóc xơ;OUTOFSTOCK
